nthreads, real_time
1,0.00
1,0.00
1,0.00
1,0.00
1,0.00
2,0.00
2,0.01
2,0.00
2,0.00
2,0.01
3,0.02
3,0.02
3,0.02
3,0.02
3,0.02
4,0.03
4,0.03
4,0.03
4,0.03
4,0.02
5,0.03
5,0.02
5,0.02
5,0.02
5,0.03
6,0.03
6,0.03
6,0.03
6,0.03
6,0.03
7,0.03
7,0.03
7,0.04
7,0.03
7,0.03
8,0.04
8,0.04
8,0.04
8,0.04
8,0.04
9,0.04
9,0.04
9,0.04
9,0.04
9,0.04
10,0.04
10,0.04
10,0.04
10,0.04
10,0.04
11,0.04
11,0.05
11,0.05
11,0.05
11,0.05
12,0.05
12,0.04
12,0.05
12,0.06
12,0.06
13,0.05
13,0.05
13,0.06
13,0.05
13,0.05
14,0.05
14,0.05
14,0.06
14,0.06
14,0.05
15,0.06
15,0.06
15,0.06
15,0.05
15,0.06
16,0.06
16,0.06
16,0.07
16,0.06
16,0.06
