nthreads, real_time
1,1.76
1,0.86
1,2.43
1,0.75
1,0.56
2,0.63
2,2.47
2,0.47
2,0.69
2,0.41
3,2.00
3,1.60
3,0.90
3,1.29
3,2.01
4,1.82
4,2.03
4,1.94
4,1.87
4,1.78
5,2.16
5,1.97
5,1.80
5,2.06
5,2.28
6,2.40
6,2.46
6,2.64
6,2.68
6,2.56
7,2.31
7,2.42
7,2.37
7,2.44
7,2.56
8,2.42
8,2.50
8,2.42
8,2.54
8,2.30
9,2.39
9,2.41
9,2.40
9,2.55
9,2.46
10,2.40
10,2.46
10,2.43
10,2.41
10,2.54
11,2.48
11,2.50
11,2.64
11,2.54
11,2.42
12,2.47
12,2.46
12,2.35
12,2.36
12,2.49
13,2.56
13,2.45
13,2.61
13,2.39
13,2.59
14,2.56
14,2.57
14,2.50
14,2.51
14,2.61
15,2.43
15,2.59
15,2.50
15,2.47
15,2.59
16,2.60
16,2.46
16,2.57
16,2.40
16,2.61
