nthreads, real_time
1,0.08
1,0.07
1,0.08
1,0.07
1,0.08
2,0.15
2,0.14
2,0.15
2,0.16
2,0.16
3,0.22
3,0.23
3,0.25
3,0.26
3,0.23
4,0.34
4,0.30
4,0.35
4,0.30
4,0.30
5,0.42
5,0.37
5,0.38
5,0.39
5,0.37
6,0.45
6,0.46
6,0.46
6,0.47
6,0.54
7,0.54
7,0.53
7,0.55
7,0.54
7,0.53
8,0.64
8,0.64
8,0.68
8,0.68
8,0.62
9,0.78
9,0.73
9,0.77
9,0.70
9,0.74
10,0.76
10,0.80
10,0.82
10,0.77
10,0.78
11,0.91
11,0.92
11,0.85
11,0.84
11,0.84
12,0.91
12,0.89
12,0.94
12,0.92
12,0.93
13,1.09
13,0.98
13,1.00
13,0.99
13,0.97
14,1.05
14,1.09
14,1.07
14,1.07
14,1.16
15,1.20
15,1.17
15,1.20
15,1.18
15,1.12
16,1.33
16,1.33
16,1.21
16,1.33
16,1.32
