nthreads, real_time
1,0.00
1,0.00
1,0.00
1,0.00
1,0.01
2,0.03
2,0.01
2,0.05
2,0.04
2,0.04
3,0.06
3,0.06
3,0.03
3,0.06
3,0.06
4,0.08
4,0.08
4,0.07
4,0.07
4,0.03
5,0.06
5,0.09
5,0.06
5,0.09
5,0.12
6,0.16
6,0.14
6,0.18
6,0.15
6,0.03
7,0.19
7,0.14
7,0.15
7,0.14
7,0.17
8,0.19
8,0.08
8,0.22
8,0.20
8,0.19
9,0.18
9,0.12
9,0.21
9,0.18
9,0.20
10,0.19
10,0.20
10,0.26
10,0.22
10,0.20
11,0.16
11,0.21
11,0.22
11,0.11
11,0.23
12,0.31
12,0.24
12,0.32
12,0.22
12,0.29
13,0.23
13,0.30
13,0.32
13,0.25
13,0.24
14,0.14
14,0.24
14,0.27
14,0.32
14,0.25
15,0.24
15,0.35
15,0.23
15,0.28
15,0.31
16,0.29
16,0.28
16,0.30
16,0.35
16,0.31
