nthreads, real_time
1,0.51
1,0.54
1,0.52
1,1.59
1,1.05
2,1.03
2,0.63
2,3.21
2,0.85
2,0.46
3,1.21
3,1.01
3,1.16
3,1.45
3,1.28
4,1.83
4,1.89
4,1.82
4,1.81
4,1.76
5,1.94
5,2.07
5,2.09
5,2.00
5,2.01
6,2.73
6,2.55
6,2.75
6,2.86
6,2.70
7,2.63
7,2.68
7,2.72
7,2.50
7,2.65
8,2.64
8,2.80
8,2.79
8,2.81
8,2.75
9,2.69
9,2.63
9,2.76
9,2.62
9,2.72
10,2.68
10,2.66
10,2.71
10,2.64
10,2.75
11,2.69
11,2.86
11,2.79
11,2.84
11,2.61
12,2.66
12,2.71
12,2.54
12,2.68
12,2.78
13,2.72
13,2.69
13,2.68
13,2.58
13,2.70
14,2.64
14,2.73
14,2.66
14,2.79
14,2.71
15,2.59
15,2.76
15,2.68
15,2.96
15,2.76
16,2.57
16,2.64
16,2.62
16,2.83
16,2.52
