nthreads, real_time
1,0.11
1,0.11
1,0.12
1,0.10
1,0.08
2,0.16
2,0.15
2,0.15
2,0.15
2,0.15
3,0.25
3,0.23
3,0.22
3,0.23
3,0.23
4,0.29
4,0.30
4,0.30
4,0.30
4,0.34
5,0.38
5,0.42
5,0.46
5,0.45
5,0.38
6,0.45
6,0.55
6,0.46
6,0.55
6,0.45
7,0.53
7,0.54
7,0.53
7,0.62
7,0.61
8,0.70
8,0.67
8,0.68
8,0.70
8,0.59
9,1.63
9,1.47
9,2.46
9,1.48
9,2.00
10,3.87
10,4.17
10,3.00
10,3.15
10,4.27
11,4.29
11,3.59
11,5.24
11,4.13
11,5.01
12,7.92
12,7.85
12,6.76
12,7.51
12,6.25
13,8.68
13,8.38
13,9.62
13,8.62
13,8.90
14,11.68
14,13.03
14,11.39
14,10.09
14,10.15
15,20.78
15,13.97
15,20.52
15,11.02
15,15.64
16,24.86
16,25.78
16,14.07
16,19.64
16,14.28
