nthreads, real_time
1,0.01
1,0.01
1,0.01
1,0.01
1,0.01
2,0.05
2,0.05
2,0.04
2,0.04
2,0.01
3,0.06
3,0.06
3,0.03
3,0.06
3,0.06
4,0.04
4,0.07
4,0.07
4,0.07
4,0.05
5,0.08
5,0.09
5,0.07
5,0.09
5,0.08
6,0.07
6,0.15
6,0.08
6,0.16
6,0.17
7,0.16
7,0.09
7,0.08
7,0.17
7,0.16
8,0.18
8,0.10
8,0.21
8,0.10
8,0.19
9,0.20
9,0.10
9,0.18
9,0.11
9,0.10
10,0.23
10,0.10
10,0.11
10,0.12
10,0.19
11,0.11
11,0.23
11,0.24
11,0.13
11,0.12
12,0.17
12,0.17
12,0.12
12,0.13
12,0.15
13,0.21
13,0.15
13,0.16
13,0.16
13,0.18
14,0.16
14,0.16
14,0.16
14,0.17
14,0.23
15,0.17
15,0.30
15,0.18
15,0.14
15,0.19
16,0.19
16,0.19
16,0.29
16,0.22
16,0.18
