nthreads, real_time
1,0.47
1,1.22
1,0.56
1,1.22
1,2.97
2,0.44
2,0.65
2,0.91
2,0.58
2,0.58
3,1.47
3,1.54
3,1.27
3,1.44
3,0.96
4,1.86
4,1.84
4,1.85
4,1.87
4,1.82
5,2.13
5,1.88
5,2.13
5,2.11
5,2.24
6,2.55
6,2.79
6,2.78
6,2.83
6,2.63
7,2.82
7,2.98
7,2.62
7,2.72
7,2.76
8,2.60
8,2.63
8,2.72
8,2.78
8,2.58
9,2.79
9,2.61
9,2.66
9,2.80
9,2.63
10,2.81
10,2.95
10,2.66
10,2.77
10,2.86
11,2.55
11,2.75
11,2.74
11,2.81
11,2.80
12,2.86
12,2.80
12,2.83
12,2.72
12,2.74
13,2.73
13,2.76
13,2.64
13,2.66
13,2.86
14,2.62
14,2.67
14,2.61
14,2.70
14,2.68
15,2.69
15,2.75
15,2.60
15,2.72
15,2.69
16,2.98
16,2.74
16,2.62
16,2.66
16,2.81
