nthreads, real_time
1,0.09
1,0.08
1,0.07
1,0.10
1,0.12
2,0.19
2,0.15
2,0.18
2,0.15
2,0.15
3,0.22
3,0.26
3,0.23
3,0.22
3,0.23
4,0.30
4,0.30
4,0.30
4,0.30
4,0.30
5,0.37
5,0.37
5,0.38
5,0.39
5,0.37
6,0.46
6,0.54
6,0.51
6,0.45
6,0.45
7,0.53
7,0.61
7,0.59
7,0.53
7,0.52
8,0.62
8,0.69
8,0.61
8,0.60
8,0.69
9,0.78
9,0.80
9,0.79
9,0.78
9,0.74
10,0.78
10,0.87
10,0.82
10,0.90
10,0.86
11,0.96
11,1.04
11,1.01
11,1.02
11,1.02
12,1.05
12,1.05
12,1.08
12,1.07
12,1.10
13,1.20
13,1.24
13,1.18
13,1.19
13,1.21
14,1.34
14,1.32
14,1.29
14,1.35
14,1.29
15,1.39
15,1.37
15,1.40
15,1.44
15,1.40
16,1.53
16,1.49
16,1.59
16,1.55
16,1.52
